condition,model,sentence,target_phrase,avg_sentence_prob,target_phrase_prob,surprisal_after_mask
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 핸드폰을 샀다.,샀다,-5.625729699353022,-9.189268112182617,24.544037600936594
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 핸드폰을 사셨다.,사셨다,-4.906305973650888,-5.90132999420166,25.152019661377143
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 핸드폰을 샀다.,샀다,-5.140884565538727,-10.315696716308594,24.77921906047726
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 핸드폰을 사셨다.,사셨다,-4.045036268213557,-4.80199933052063,25.043673343055985
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 편지를 썼다.,썼다,-4.524489670858851,-1.598093032836914,24.89349809232258
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 편지를 쓰셨다.,쓰셨다,-3.9891996355727315,-2.3446821719408035,25.303590035374345
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 편지를 썼다.,썼다,-4.218885531881824,-2.1579809188842773,25.033236059940425
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 편지를 쓰셨다.,쓰셨다,-3.5970856294863753,-2.073651947081089,25.79379837650404
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 노래를 불렀다.,불렀다,-4.505128812177905,-1.5649181604385376,25.472328405511277
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 노래를 부르셨다.,부르셨다,-3.6972215364221483,-1.9780549425631762,25.995810574068702
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 노래를 불렀다.,불렀다,-3.961972396238707,-2.0469675064086914,25.614922660994647
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 노래를 부르셨다.,부르셨다,-3.0573202634437218,-1.7783586457371712,26.401158547679064
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 티비를 봤다.,봤다,-3.8209902920061722,-2.914017915725708,23.595419822891134
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 티비를 보셨다.,보셨다,-3.220231004162795,-2.8123962804675102,24.209334596855847
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 티비를 봤다.,봤다,-3.135268474722074,-3.2717292308807373,23.80232183118513
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 티비를 보셨다.,보셨다,-2.7342837079428137,-1.8482256829738617,23.98606534364454
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 산책을 했다.,했다,-5.622862584888935,-2.977370023727417,24.51817416196924
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 산책을 하셨다.,하셨다,-5.038971179431038,-3.2822530269622803,24.89590584943466
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 산책을 했다.,했다,-4.7503401059657335,-4.517899990081787,24.183963716200562
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 산책을 하셨다.,하셨다,-3.935897206189111,-3.06089448928833,24.583822003595387
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 정원을 가꿨다.,가꿨다,-4.8079535250552,-5.147889633973439,23.75468676447975
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 정원을 가꾸셨다.,가꾸셨다,-4.143034569505188,-2.424611449241638,25.01547919520414
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 정원을 가꿨다.,가꿨다,-4.331742845983668,-6.181245724360148,23.54271608349953
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 정원을 가꾸셨다.,가꾸셨다,-3.351914311759174,-2.376696452498436,24.828210726332646
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 빨래를 널었다.,널었다,-4.175890373880975,-2.341275453567505,24.38641894107385
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 빨래를 널으셨다.,널으셨다,-4.1006252028875885,-3.920452833175659,23.996433833699758
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 빨래를 널었다.,널었다,-3.2750068831567964,-2.1650713682174683,24.45339586462586
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 빨래를 널으셨다.,널으셨다,-3.362808368680999,-3.631669044494629,24.18656409388161
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 책을 읽었다.,읽었다,-4.607256391784176,-2.10157360881567,26.414333794596363
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 책을 읽으셨다.,읽으셨다,-4.2036361408730345,-2.6690142266452312,25.69529221753465
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 책을 읽었다.,읽었다,-3.827999634978672,-2.1684903129935265,26.380154650494493
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 책을 읽으셨다.,읽으셨다,-2.9388710275292396,-1.66717067360878,26.026068513730902
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 파스타를 먹었다.,먹었다,-4.948461818043143,-3.162283420562744,25.556407283865088
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 파스타를 드셨다.,드셨다,-4.473523802848326,-3.8916096687316895,25.96150760245821
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 파스타를 먹었다.,먹었다,-4.176635998197728,-4.829735279083252,25.15870084339786
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 파스타를 드셨다.,드셨다,-3.826556007005274,-3.9000569581985474,25.6145539301912
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 호통을 쳤다.,쳤다,-4.799893761286512,-2.4373838901519775,25.051623069109468
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 호통을 치셨다.,치셨다,-4.037042436603871,-1.9308914840221405,25.400802884809245
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 호통을 쳤다.,쳤다,-4.496575939469039,-3.517143726348877,25.171507359511708
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 호통을 치셨다.,치셨다,-3.9137844895012677,-1.985009878873825,25.96910235632031
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 핸드폰을 샀다.,샀다,-5.5738117110782435,-9.146434783935547,24.70209103294072
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 핸드폰을 사셨다.,사셨다,-4.830330803757533,-5.496933460235596,25.35451341036422
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 핸드폰을 샀다.,샀다,-5.192599868052639,-10.210261344909668,24.856770853265527
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 핸드폰을 사셨다.,사셨다,-4.10046670296126,-4.515297889709473,25.23179484587576
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 편지를 썼다.,썼다,-4.484611402797912,-1.730809211730957,25.287093459503584
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 편지를 쓰셨다.,쓰셨다,-4.130888910032809,-2.49801117926836,25.70824457493643
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 편지를 썼다.,썼다,-4.1822896738303825,-1.8326430320739746,25.568377276365137
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 편지를 쓰셨다.,쓰셨다,-3.707658905742897,-2.0787765234708786,26.19020600399195
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 노래를 불렀다.,불렀다,-4.536239685091589,-1.4125888347625732,25.870122901095748
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 노래를 부르셨다.,부르셨다,-3.8617208441719413,-2.1096758041530848,26.42313380287571
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 노래를 불렀다.,불렀다,-4.114890292054042,-1.7206672430038452,25.991429831985922
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 노래를 부르셨다.,부르셨다,-3.2404434747166104,-1.6529748179018497,26.89196126085014
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 티비를 봤다.,봤다,-4.043812618823722,-2.5353684425354004,23.87492327535096
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 티비를 보셨다.,보셨다,-3.383776930574742,-2.530512757599354,24.01915755739296
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 티비를 봤다.,봤다,-3.320521021986173,-2.928563356399536,23.28139601275013
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 티비를 보셨다.,보셨다,-2.6995208357460796,-1.5697463005781174,23.750325284453872
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 산책을 했다.,했다,-5.649595523253083,-2.761023759841919,25.428377895117986
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 산책을 하셨다.,하셨다,-5.277365268607225,-3.7219889163970947,25.532115078396018
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 산책을 했다.,했다,-4.785132330027409,-4.11043643951416,25.014227161505858
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 산책을 하셨다.,하셨다,-3.981178818969056,-2.634920120239258,25.183067345372102
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 정원을 가꿨다.,가꿨다,-4.7798856482841074,-5.034585138161977,24.774301732523792
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 정원을 가꾸셨다.,가꾸셨다,-4.116041211825278,-2.7075411826372147,26.339946482583976
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 정원을 가꿨다.,가꿨다,-4.334877765060148,-6.130933364232381,24.45515421524828
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 정원을 가꾸셨다.,가꾸셨다,-3.256376214325428,-2.1859131306409836,26.139566056410697
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 빨래를 널었다.,널었다,-4.189327099127695,-2.334876984357834,25.07035679530265
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 빨래를 널으셨다.,널으셨다,-4.354116478727923,-4.376910289128621,24.129950156939987
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 빨래를 널었다.,널었다,-3.4286773439703717,-2.0369038581848145,24.454463532922418
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 빨래를 널으셨다.,널으셨다,-3.5082295237109067,-3.5910441875457764,24.25133963950258
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 책을 읽었다.,읽었다,-4.472524459473789,-2.43918763846159,26.093389402584638
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 책을 읽으셨다.,읽으셨다,-3.9827863154932857,-2.4227075030406318,25.677020780706986
noun_only,bert-kor-base,어제 저녁에 혼자서 할머니께서 책을 읽었다.,읽었다,-3.922358255419466,-2.4874722361564636,26.55494405821938
all_honorific,bert-kor-base,어제 저녁에 혼자서 할머니께서 책을 읽으셨다.,읽으셨다,-2.9595250636339188,-1.8448847085237503,26.046750459393056
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 파스타를 먹었다.,먹었다,-5.3821821245364845,-3.588751792907715,25.010737977485153
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 파스타를 드셨다.,드셨다,-4.844095159528984,-4.44870400428772,25.22453305042573
noun_only,bert-kor-base,어제 저녁에 혼자서 할머니께서 파스타를 먹었다.,먹었다,-4.4508284400734635,-5.071070194244385,24.681010087528563
all_honorific,bert-kor-base,어제 저녁에 혼자서 할머니께서 파스타를 드셨다.,드셨다,-3.9192843256518244,-4.249621152877808,24.968807231343593
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 호통을 쳤다.,쳤다,-4.619663989753462,-2.751394510269165,24.915443078572675
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 호통을 치셨다.,치셨다,-4.0275623658671975,-2.24166077375412,25.201479120042872
noun_only,bert-kor-base,어제 저녁에 혼자서 할머니께서 호통을 쳤다.,쳤다,-4.402719787735906,-3.7679781913757324,24.956680390665955
all_honorific,bert-kor-base,어제 저녁에 혼자서 할머니께서 호통을 치셨다.,치셨다,-3.771882471907884,-2.0812998861074448,25.639723935110272
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 핸드폰을 샀다.,샀다,-6.044192808680236,-8.352611541748047,24.951941924669384
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 핸드폰을 사셨다.,사셨다,-5.196264056605287,-6.1823718547821045,25.12009142620976
noun_only,bert-kor-base,어제 저녁에 혼자서 할머니께서 핸드폰을 샀다.,샀다,-5.519678712356836,-10.006816864013672,24.98266765714193
all_honorific,bert-kor-base,어제 저녁에 혼자서 할머니께서 핸드폰을 사셨다.,사셨다,-4.364792387829059,-5.2635040283203125,25.002702948036845
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 편지를 썼다.,썼다,-4.61426873012845,-1.3422497510910034,25.139270931433984
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 편지를 쓰셨다.,쓰셨다,-4.161306419875473,-2.473947063088417,25.35016018550558
noun_only,bert-kor-base,어제 저녁에 혼자서 할머니께서 편지를 썼다.,썼다,-4.447385385981761,-2.2596278190612793,25.211654989529123
all_honorific,bert-kor-base,어제 저녁에 혼자서 할머니께서 편지를 쓰셨다.,쓰셨다,-3.7069833332465754,-2.101962201297283,25.762750692509076
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 노래를 불렀다.,불렀다,-4.431924004107714,-1.1131144762039185,25.589147277144537
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 노래를 부르셨다.,부르셨다,-3.8425840430427343,-2.493344457820058,25.850538892676695
noun_only,bert-kor-base,어제 저녁에 혼자서 할머니께서 노래를 불렀다.,불렀다,-4.3256353955948725,-1.6417407989501953,25.656729579627587
all_honorific,bert-kor-base,어제 저녁에 혼자서 할머니께서 노래를 부르셨다.,부르셨다,-3.3308405521222286,-1.7966859424486756,26.25115665545773
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 티비를 봤다.,봤다,-4.014332560822368,-2.41395902633667,24.526181674193413
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 티비를 보셨다.,보셨다,-3.5404504041911826,-3.477597363293171,25.114084416180425
